frameIndex,localTime,globalTime
676,59986.505084474,119950.50461201568
677,59986.538429606,119950.53795714768
678,59986.571754127,119950.57128166867
679,59986.605081549,119950.60460909069
680,59986.638413529,119950.63794107069
681,59986.671755075,119950.67128261668
682,59986.705076764,119950.70460430568
683,59986.738418811,119950.73794635269
684,59986.77174904,119950.77127658168
685,59986.805065132,119950.80459267368
686,59986.838400055,119950.83792759667
687,59986.871728741,119950.87125628268
688,59986.905066624,119950.90459416568
689,59986.93839502,119950.93792256169
690,59986.971718899,119950.97124644069
691,59987.005069422,119951.00459696367
692,59987.038381594,119951.03790913569
693,59987.071725657,119951.07125319868
694,59987.105043038,119951.10457057969
695,59987.138377583,119951.13790512469
696,59987.171715728,119951.17124326968
697,59987.205044985,119951.20457252668
698,59987.238383338,119951.23791087969
699,59987.271716594,119951.27124413569
700,59987.30503195,119951.30455949169
701,59987.338382162,119951.33790970368
702,59987.371712058,119951.37123959968
703,59987.405036524,119951.40456406568
704,59987.438358572,119951.43788611368
705,59987.471698085,119951.47122562668
706,59987.505028011,119951.50455555267
707,59987.538356321,119951.53788386268
708,59987.571692047,119951.57121958869
709,59987.605021263,119951.60454880468
710,59987.638347648,119951.63787518968
711,59987.671693291,119951.67122083268
712,59987.705022633,119951.70455017468
713,59987.738355098,119951.73788263969
714,59987.77168395,119951.77121149168
715,59987.805008804,119951.80453634568
716,59987.838336416,119951.83786395768
717,59987.871662457,119951.87118999868
718,59987.904995736,119951.90452327768
719,59987.938339111,119951.93786665268
720,59987.971665681,119951.97119322268
721,59988.005004222,119952.00453176368
722,59988.03833296,119952.03786050167
723,59988.071661,119952.07118854168
724,59988.104983167,119952.10451070868
725,59988.13831794,119952.13784548169
726,59988.171652609,119952.17118015068
727,59988.204990718,119952.20451825968
728,59988.238317844,119952.23784538568
729,59988.271643454,119952.27117099568
730,59988.304981372,119952.30450891369
731,59988.338303082,119952.33783062367
732,59988.371640651,119952.37116819268
733,59988.404978486,119952.40450602768
734,59988.438308136,119952.43783567767
735,59988.471624129,119952.47115167067
736,59988.504962563,119952.50449010468
737,59988.53830203,119952.53782957168
738,59988.57162038,119952.57114792167
739,59988.604963932,119952.60449147367
740,59988.638295782,119952.63782332369
741,59988.671621249,119952.67114879069
742,59988.704941101,119952.70446864268
743,59988.738285942,119952.73781348369
744,59988.771604243,119952.77113178468
745,59988.804937354,119952.80446489569
746,59988.838270026,119952.83779756768
747,59988.871597464,119952.87112500568
748,59988.90492997,119952.90445751167
749,59988.938264908,119952.93779244968
750,59988.971591538,119952.97111907968
751,59989.004922144,119953.00444968569
752,59989.038267064,119953.03779460568
753,59989.071586028,119953.07111356969
754,59989.1049313,119953.10445884167
755,59989.138265764,119953.13779330568
756,59989.171580454,119953.17110799567
757,59989.204917541,119953.20444508268
758,59989.238259022,119953.23778656368
759,59989.271589194,119953.27111673568
760,59989.304910675,119953.30443821667
761,59989.338240222,119953.33776776367
762,59989.371572869,119953.37110041067
763,59989.404911748,119953.40443928968
764,59989.438237753,119953.43776529469
765,59989.471570774,119953.47109831568
766,59989.504902029,119953.50442957069
767,59989.538238468,119953.53776600969
768,59989.57156764,119953.57109518169
769,59989.60489508,119953.60442262169
770,59989.638221,119953.63774854169
771,59989.67156348,119953.67109102168
772,59989.704879985,119953.70440752667
773,59989.738215531,119953.73774307268
774,59989.771542547,119953.77107008868
775,59989.804872556,119953.80440009768
776,59989.83821049,119953.83773803168
777,59989.871534457,119953.87106199868
778,59989.904876809,119953.90440435067
779,59989.938211275,119953.93773881669
780,59989.971534169,119953.97106171068
781,59990.004863467,119954.00439100868
782,59990.038190069,119954.03771761068
783,59990.071520536,119954.07104807769
784,59990.104863586,119954.10439112768
785,59990.138192696,119954.13772023769
786,59990.171527575,119954.17105511669
787,59990.204861723,119954.20438926469
788,59990.238184394,119954.23771193568
789,59990.271521959,119954.27104950068
790,59990.304845672,119954.30437321367
791,59990.338188385,119954.33771592668
792,59990.371517157,119954.37104469868
793,59990.404837245,119954.40436478668
794,59990.438170927,119954.43769846868
795,59990.471507893,119954.47103543469
796,59990.504842036,119954.50436957768
797,59990.538172127,119954.53769966868
798,59990.571506355,119954.57103389667
799,59990.604828986,119954.60435652768
800,59990.638150089,119954.63767763067
801,59990.671494306,119954.67102184768
802,59990.70481799,119954.70434553167
803,59990.738158249,119954.73768579068
804,59990.771493261,119954.77102080268
805,59990.804813076,119954.80434061767
806,59990.838156997,119954.83768453868
807,59990.871472728,119954.87100026969
808,59990.904810941,119954.90433848268
809,59990.938141296,119954.93766883768
810,59990.97146376,119954.97099130167
811,59991.004801056,119955.00432859769
812,59991.038130788,119955.03765832967
813,59991.07145825,119955.07098579168
814,59991.104803106,119955.10433064768
815,59991.138124485,119955.13765202668
816,59991.171455092,119955.17098263369
817,59991.204796595,119955.20432413668
818,59991.23812266,119955.23765020169
819,59991.271460789,119955.27098833068
820,59991.304793729,119955.30432127068
821,59991.338118025,119955.33764556667
822,59991.371458047,119955.37098558867
823,59991.404787553,119955.40431509468
824,59991.43810348,119955.43763102169
825,59991.471435216,119955.47096275768
826,59991.50477055,119955.50429809168
827,59991.538102328,119955.53762986968
828,59991.571441786,119955.57096932767
829,59991.604774412,119955.60430195369
830,59991.638101105,119955.63762864668
831,59991.671438133,119955.67096567468
832,59991.704767301,119955.70429484268
833,59991.738085218,119955.73761275968
834,59991.771422702,119955.77095024368
835,59991.804746203,119955.80427374468
836,59991.838079771,119955.83760731269
837,59991.871423814,119955.87095135568
838,59991.904739673,119955.90426721468
839,59991.938084675,119955.93761221669
840,59991.971401827,119955.97092936869
841,59992.004743828,119956.00427136969
842,59992.038063646,119956.03759118769
843,59992.071408065,119956.07093560668
844,59992.104735308,119956.10426284968
845,59992.138064289,119956.13759183069
846,59992.171393379,119956.17092092067
847,59992.204736274,119956.20426381569
848,59992.23804853,119956.23757607168
849,59992.271383551,119956.27091109268
850,59992.304712557,119956.30424009869
851,59992.338048188,119956.33757572967
852,59992.371383584,119956.37091112568
853,59992.404704757,119956.40423229868
854,59992.438035538,119956.43756307967
855,59992.471373956,119956.47090149768
856,59992.504716065,119956.50424360667
857,59992.53803911,119956.53756665168
858,59992.571366926,119956.57089446767
859,59992.604699638,119956.60422717969
860,59992.638038181,119956.63756572269
861,59992.671355207,119956.67088274867
862,59992.704705042,119956.70423258368
863,59992.7380254,119956.73755294169
864,59992.771363028,119956.77089056968
865,59992.804685009,119956.80421255069
866,59992.838020638,119956.83754817968
867,59992.871348121,119956.87087566269
868,59992.904684999,119956.90421254068
869,59992.938006608,119956.93753414968
870,59992.971334111,119956.97086165268
871,59993.004681196,119957.00420873768
872,59993.037998471,119957.03752601269
873,59993.071333516,119957.07086105768
874,59993.104675163,119957.10420270468
875,59993.137993541,119957.13752108268
876,59993.171323356,119957.17085089767
877,59993.204667401,119957.20419494268
878,59993.237992718,119957.23752025969
879,59993.271318512,119957.27084605368
880,59993.304651203,119957.30417874467
881,59993.337985874,119957.33751341568
882,59993.371312627,119957.37084016867
883,59993.404658325,119957.40418586668
884,59993.437982159,119957.43750970069
885,59993.471316478,119957.47084401967
886,59993.504640771,119957.50416831268
887,59993.537982215,119957.53750975669
888,59993.571308799,119957.57083634069
889,59993.604638327,119957.60416586869
890,59993.637959328,119957.63748686967
891,59993.671304829,119957.67083237067
892,59993.704621605,119957.70414914668
893,59993.737962939,119957.73749048068
894,59993.771300037,119957.77082757867
895,59993.804622419,119957.80414996068
896,59993.8379524,119957.83747994168
897,59993.871276779,119957.87080432067
898,59993.904608884,119957.90413642567
899,59993.937953139,119957.93748068067
900,59993.971273454,119957.97080099568
901,59994.004612834,119958.00414037568
902,59994.037951422,119958.03747896367
903,59994.071279912,119958.07080745368
904,59994.104610164,119958.10413770568
905,59994.1379389,119958.13746644168
906,59994.171277817,119958.17080535868
907,59994.204591718,119958.20411925968
908,59994.237937386,119958.23746492769
909,59994.271257538,119958.27078507969
910,59994.304602166,119958.30412970769
911,59994.337922666,119958.33745020768
912,59994.371255317,119958.37078285868
913,59994.40459369,119958.40412123168
914,59994.437910922,119958.43743846368
915,59994.471254801,119958.47078234269
916,59994.504572741,119958.50410028268
917,59994.537917661,119958.53744520267
918,59994.571251852,119958.57077939369
919,59994.604567314,119958.60409485569
920,59994.637905547,119958.63743308868
921,59994.671230424,119958.67075796568
922,59994.704573303,119958.70410084468
923,59994.737892745,119958.73742028668
924,59994.771225539,119958.77075308068
925,59994.804560689,119958.80408823068
926,59994.837884401,119958.83741194269
927,59994.871213174,119958.87074071568
928,59994.904552887,119958.90408042868
929,59994.937884202,119958.93741174368
930,59994.971222038,119958.97074957969
931,59995.004545209,119959.00407275069
932,59995.037883566,119959.03741110768
933,59995.07120019,119959.07072773168
934,59995.104537626,119959.10406516769
935,59995.137863258,119959.13739079967
936,59995.171197569,119959.17072511069
937,59995.204533825,119959.20406136668
938,59995.237855719,119959.23738326068
939,59995.271200936,119959.27072847768
940,59995.304526038,119959.30405357969
941,59995.337864879,119959.33739242068
